,id,callerID,agentID,complaintTopic,assignedTo,status,resolutionDurationInHours,assigned_calls_to_agent_id
412,413,CALLER_413,122,Lost package,143,Pending,Not provided,143
413,414,CALLER_414,175,Package never arrived,149,Closed,30.0,149
414,415,CALLER_415,122,Unsatisfactory resolution,130,Pending,Not provided,130
415,416,CALLER_416,152,Wrong item received,158,Resolved,Not provided,158
416,417,CALLER_417,161,Package never arrived,156,Pending,Not provided,156
417,418,CALLER_418,160,Poor communication,156,Pending,Not provided,156
418,419,CALLER_419,144,Inaccurate information provided,178,Closed,32.0,178
419,420,CALLER_420,172,Shipping delay,140,Resolved,Not provided,140
420,421,CALLER_421,137,Website not working,148,Resolved,Not provided,148
421,422,CALLER_422,160,Refund not processed,160,Resolved,Not provided,160
422,423,CALLER_423,122,Inaccurate information provided,133,Closed,4.0,133
423,424,CALLER_424,167,Unhelpful support,158,Pending,Not provided,158
424,425,CALLER_425,150,Incorrect order,138,Pending,Not provided,138
425,426,CALLER_426,157,Poor communication,157,Resolved,Not provided,157
426,427,CALLER_427,164,Refund not processed,165,Pending,Not provided,165
427,428,CALLER_428,175,Package delivered to wrong address,140,Pending,Not provided,140
428,429,CALLER_429,153,Poor communication,131,Resolved,Not provided,131
429,430,CALLER_430,177,Wrong item received,177,Closed,20.0,177
430,431,CALLER_431,167,Product not as described,180,Pending,Not provided,180
431,432,CALLER_432,140,Unhelpful support,166,Pending,Not provided,166
432,433,CALLER_433,137,Product not as described,137,Pending,Not provided,137
433,434,CALLER_434,181,Website not working,181,Pending,Not provided,181
434,435,CALLER_435,180,Difficulty getting a refund,180,Pending,Not provided,180
435,436,CALLER_436,125,Inaccurate information provided,125,Pending,Not provided,125
436,437,CALLER_437,159,Product damaged during shipping,150,Closed,48.0,150
437,438,CALLER_438,132,Unauthorized charges,132,Pending,Not provided,132
438,439,CALLER_439,143,Wrong item received,125,Resolved,Not provided,125
439,440,CALLER_440,153,Incorrect charges,153,Pending,Not provided,153
440,441,CALLER_441,165,Unsatisfactory resolution,146,Pending,Not provided,146
441,442,CALLER_442,158,Lost package,158,Closed,45.0,158
442,443,CALLER_443,162,Slow response time,162,Pending,Not provided,162
443,444,CALLER_444,154,Unhelpful support,169,Closed,36.0,169
444,445,CALLER_445,157,Billing discrepancy,157,Pending,Not provided,157
445,446,CALLER_446,153,Product damaged during shipping,151,Pending,Not provided,151
446,447,CALLER_447,128,Wrong item received,173,Closed,16.0,173
447,448,CALLER_448,129,Billing discrepancy,129,New,Not provided,129
448,449,CALLER_449,174,Unprofessional behavior,157,Closed,10.0,157
449,450,CALLER_450,170,Billing discrepancy,130,New,Not provided,130
450,451,CALLER_451,151,Difficulty getting a refund,137,New,Not provided,137
451,452,CALLER_452,174,Long wait time,133,Pending,Not provided,133
452,453,CALLER_453,172,Lack of follow-up,172,Closed,19.0,172
453,454,CALLER_454,145,Unauthorized charges,141,Resolved,Not provided,141
454,455,CALLER_455,155,Billing discrepancy,147,Resolved,Not provided,147
455,456,CALLER_456,145,Inaccurate information provided,145,Pending,Not provided,145
456,457,CALLER_457,148,Website not working,123,Resolved,Not provided,123
457,458,CALLER_458,124,Incorrect order,160,Closed,48.0,160
458,459,CALLER_459,175,Difficulty getting a refund,136,Closed,9.0,136
459,460,CALLER_460,177,Difficulty cancelling subscription,122,Pending,Not provided,122
460,461,CALLER_461,173,Shipping delay,173,Resolved,Not provided,173
461,462,CALLER_462,166,Difficulty getting a refund,166,Closed,9.0,166
462,463,CALLER_463,143,Poor communication,143,Pending,Not provided,143
463,464,CALLER_464,131,Unresolved issue,131,New,Not provided,131
464,465,CALLER_465,135,Unauthorized charges,181,Pending,Not provided,181
465,466,CALLER_466,149,Website not working,149,Pending,Not provided,149
466,467,CALLER_467,153,Difficulty getting a refund,134,Closed,32.0,134
467,468,CALLER_468,178,Package never arrived,178,New,Not provided,178
468,469,CALLER_469,132,Inaccurate information provided,132,Pending,Not provided,132
469,470,CALLER_470,164,Billing discrepancy,143,Closed,15.0,143
470,471,CALLER_471,172,Difficulty cancelling subscription,172,Closed,34.0,172
471,472,CALLER_472,180,Unsatisfactory resolution,180,New,Not provided,180
472,473,CALLER_473,178,Lost package,178,Pending,Not provided,178
473,474,CALLER_474,151,Package delivered to wrong address,167,Resolved,Not provided,167
474,475,CALLER_475,144,Poor communication,144,Closed,15.0,144
475,476,CALLER_476,124,Rude customer service representative,135,Pending,Not provided,135
476,477,CALLER_477,180,Long wait time,180,Closed,13.0,180
477,478,CALLER_478,125,Difficulty cancelling subscription,123,Pending,Not provided,123
478,479,CALLER_479,156,Difficulty reaching customer support,159,Resolved,Not provided,159
479,480,CALLER_480,128,Unauthorized charges,145,Closed,11.0,145
480,481,CALLER_481,166,Incorrect charges,166,Resolved,Not provided,166
481,482,CALLER_482,161,Rude customer service representative,178,Pending,Not provided,178
482,483,CALLER_483,170,Poor quality product,127,New,Not provided,127
483,484,CALLER_484,144,Difficulty reaching customer support,171,New,Not provided,171
484,485,CALLER_485,179,Inaccurate information provided,144,New,Not provided,144
485,486,CALLER_486,161,Unprofessional behavior,158,Resolved,Not provided,158
486,487,CALLER_487,132,Difficulty cancelling subscription,151,Closed,27.0,151
487,488,CALLER_488,131,Billing discrepancy,156,New,Not provided,156
488,489,CALLER_489,158,Incorrect charges,134,Pending,Not provided,134
489,490,CALLER_490,152,Unauthorized charges,152,Pending,Not provided,152
490,491,CALLER_491,132,Difficulty reaching customer support,132,Resolved,Not provided,132
491,492,CALLER_492,181,Package delivered to wrong address,155,New,Not provided,155
492,493,CALLER_493,149,Difficulty getting a refund,149,Resolved,Not provided,149
493,494,CALLER_494,174,Wrong item received,174,New,Not provided,174
494,495,CALLER_495,137,Unauthorized charges,156,Pending,Not provided,156
495,496,CALLER_496,164,Product not delivered,164,Resolved,Not provided,164
496,497,CALLER_497,128,Lack of follow-up,128,Resolved,Not provided,128
497,498,CALLER_498,149,Lack of follow-up,141,New,Not provided,141
498,499,CALLER_499,134,Long wait time,134,Resolved,Not provided,134
499,500,CALLER_500,150,Package delivered to wrong address,156,Closed,23.0,156
500,501,CALLER_501,171,Product not as described,164,Resolved,Not provided,164
501,502,CALLER_502,177,Lack of follow-up,126,Resolved,Not provided,126
502,503,CALLER_503,141,Lack of follow-up,123,Pending,Not provided,123
503,504,CALLER_504,127,Product damaged during shipping,135,Closed,24.0,135
504,505,CALLER_505,173,Billing discrepancy,173,Closed,34.0,173
505,506,CALLER_506,124,Difficulty cancelling subscription,130,New,Not provided,130
506,507,CALLER_507,155,Difficulty cancelling subscription,155,New,Not provided,155
507,508,CALLER_508,169,Shipping delay,166,Pending,Not provided,166
508,509,CALLER_509,176,Poor communication,176,Resolved,Not provided,176
509,510,CALLER_510,170,Shipping delay,144,New,Not provided,144
510,511,CALLER_511,144,Website not working,144,Pending,Not provided,144
511,512,CALLER_512,166,Lost package,166,Pending,Not provided,166
512,513,CALLER_513,155,Misplaced order,143,Pending,Not provided,143
513,514,CALLER_514,132,Inadequate product instructions,156,Closed,23.0,156
514,515,CALLER_515,178,Incorrect charges,129,Resolved,Not provided,129
515,516,CALLER_516,162,Slow response time,162,Closed,39.0,162
516,517,CALLER_517,135,Unhelpful support,162,Closed,4.0,162
517,518,CALLER_518,154,Product not as described,180,New,Not provided,180
518,519,CALLER_519,150,Long wait time,144,Closed,35.0,144
519,520,CALLER_520,170,Slow response time,178,Pending,Not provided,178
520,521,CALLER_521,158,Package never arrived,158,New,Not provided,158
521,522,CALLER_522,133,Incorrect order,133,Closed,46.0,133
522,523,CALLER_523,123,Wrong item received,123,Closed,20.0,123
523,524,CALLER_524,150,Inadequate product instructions,150,Closed,16.0,150
524,525,CALLER_525,137,Lack of follow-up,177,Closed,19.0,177
525,526,CALLER_526,146,Difficulty cancelling subscription,166,Closed,8.0,166
526,527,CALLER_527,180,Inadequate product instructions,123,New,Not provided,123
527,528,CALLER_528,150,Inadequate product instructions,125,Resolved,Not provided,125
528,529,CALLER_529,168,Inadequate product instructions,130,Pending,Not provided,130
529,530,CALLER_530,179,Incorrect charges,179,New,Not provided,179
530,531,CALLER_531,165,Lack of follow-up,165,Closed,44.0,165
531,532,CALLER_532,165,Refund not processed,129,Resolved,Not provided,129
532,533,CALLER_533,144,Shipping delay,172,Pending,Not provided,172
533,534,CALLER_534,176,Product not as described,140,Resolved,Not provided,140
534,535,CALLER_535,162,Wrong item received,152,Pending,Not provided,152
535,536,CALLER_536,157,Wrong item received,138,Closed,26.0,138
536,537,CALLER_537,124,Lack of follow-up,124,Pending,Not provided,124
537,538,CALLER_538,140,Incorrect charges,157,Closed,48.0,157
538,539,CALLER_539,181,Website not working,123,Pending,Not provided,123
539,540,CALLER_540,171,Slow response time,171,Resolved,Not provided,171
540,541,CALLER_541,137,Product damaged during shipping,156,Pending,Not provided,156
541,542,CALLER_542,153,Wrong item received,123,Pending,Not provided,123
542,543,CALLER_543,153,Incorrect charges,153,Closed,11.0,153
543,544,CALLER_544,169,Unauthorized charges,169,Closed,39.0,169
544,545,CALLER_545,176,Inaccurate information provided,178,Closed,9.0,178
545,546,CALLER_546,125,Difficulty reaching customer support,173,Pending,Not provided,173
546,547,CALLER_547,165,Inaccurate information provided,165,Pending,Not provided,165
547,548,CALLER_548,124,Unprofessional behavior,124,Pending,Not provided,124
548,549,CALLER_549,170,Billing discrepancy,133,Pending,Not provided,133
549,550,CALLER_550,177,Long wait time,132,Pending,Not provided,132
550,551,CALLER_551,145,Website not working,171,Closed,31.0,171
551,552,CALLER_552,149,Product not as described,149,Closed,37.0,149
552,553,CALLER_553,171,Unhelpful support,156,Resolved,Not provided,156
553,554,CALLER_554,147,Website not working,147,Closed,32.0,147
554,555,CALLER_555,124,Incorrect order,172,Pending,Not provided,172
555,556,CALLER_556,125,Product damaged during shipping,164,Closed,25.0,164
556,557,CALLER_557,142,Unsatisfactory resolution,123,New,Not provided,123
557,558,CALLER_558,181,Long wait time,140,Pending,Not provided,140
558,559,CALLER_559,136,Poor communication,136,New,Not provided,136
559,560,CALLER_560,174,Poor quality product,135,Resolved,Not provided,135
560,561,CALLER_561,176,Unauthorized charges,176,Resolved,Not provided,176
561,562,CALLER_562,141,Product not as described,141,New,Not provided,141
562,563,CALLER_563,157,Package delivered to wrong address,157,Closed,31.0,157
563,564,CALLER_564,170,Unresolved issue,126,New,Not provided,126
564,565,CALLER_565,172,Incorrect order,152,Pending,Not provided,152
565,566,CALLER_566,141,Incorrect charges,141,Closed,19.0,141
566,567,CALLER_567,157,Inadequate product instructions,157,Closed,14.0,157
567,568,CALLER_568,154,Lost package,163,Closed,39.0,163
568,569,CALLER_569,178,Package never arrived,178,Pending,Not provided,178
569,570,CALLER_570,131,Difficulty getting a refund,173,Pending,Not provided,173
570,571,CALLER_571,141,Incorrect charges,167,Resolved,Not provided,167
571,572,CALLER_572,126,Product not delivered,154,Closed,23.0,154
572,573,CALLER_573,137,Shipping delay,137,Closed,16.0,137
573,574,CALLER_574,147,Lack of follow-up,147,Closed,33.0,147
574,575,CALLER_575,180,Wrong item received,175,Closed,25.0,175
575,576,CALLER_576,153,Long wait time,180,Closed,42.0,180
576,577,CALLER_577,159,Unsatisfactory resolution,159,New,Not provided,159
577,578,CALLER_578,172,Lost package,172,Closed,32.0,172
578,579,CALLER_579,166,Wrong item received,177,Closed,7.0,177
579,580,CALLER_580,130,Wrong item received,130,Pending,Not provided,130
580,581,CALLER_581,131,Product not delivered,168,Closed,31.0,168
581,582,CALLER_582,130,Unsatisfactory resolution,130,Closed,36.0,130
582,583,CALLER_583,147,Unsatisfactory resolution,145,New,Not provided,145
583,584,CALLER_584,158,Shipping delay,158,Pending,Not provided,158
584,585,CALLER_585,144,Billing discrepancy,152,Closed,45.0,152
585,586,CALLER_586,154,Incorrect charges,154,Closed,43.0,154
586,587,CALLER_587,139,Unauthorized charges,139,Pending,Not provided,139
587,588,CALLER_588,164,Inaccurate information provided,147,Pending,Not provided,147
588,589,CALLER_589,142,Lack of follow-up,143,New,Not provided,143
589,590,CALLER_590,152,Rude customer service representative,154,Pending,Not provided,154
590,591,CALLER_591,129,Incorrect charges,181,Closed,36.0,181
591,592,CALLER_592,127,Difficulty reaching customer support,152,Closed,23.0,152
592,593,CALLER_593,171,Inadequate product instructions,144,New,Not provided,144
593,594,CALLER_594,121,Package never arrived,158,Pending,Not provided,158
594,595,CALLER_595,180,Difficulty getting a refund,180,New,Not provided,180
595,596,CALLER_596,137,Unhelpful support,169,New,Not provided,169
596,597,CALLER_597,159,Slow response time,159,Resolved,Not provided,159
597,598,CALLER_598,148,Shipping delay,150,Pending,Not provided,150
598,599,CALLER_599,161,Website not working,148,Pending,Not provided,148
599,600,CALLER_600,127,Wrong item received,149,Resolved,Not provided,149
